econ_ideology,social_ideology,partisan_lean,partisan_strength,turnout_propensity,gender,educ,race,urban_rural
1.0,-0.17782586895436275,1.0,1.0,0.97,1,6,1,2
0.5,-1.0,1.0,1.0,0.97,2,5,1,4
0.0,-1.0,-0.6666666666666666,0.6666666666666666,0.49,1,6,4,2
0.0,0.34132960367870696,0.6666666666666666,0.6666666666666666,0.4099999999999999,1,3,1,4
1.0,1.0,1.0,1.0,0.97,1,1,6,2
0.5,-0.2612983732646129,1.0,1.0,0.37,1,3,1,4
0.0,-1.0,-1.0,1.0,0.97,1,6,1,2
0.5,0.5913615533121189,0.3333333333333333,0.3333333333333333,0.31,2,3,1,2
0.5,0.4057801639338472,0.3333333333333333,0.3333333333333333,0.97,2,3,2,2
-1.0,-0.47405901548390783,-1.0,1.0,0.57,2,5,1,1
-0.5,-0.4795347381102305,-1.0,1.0,0.97,2,5,1,2
0.0,0.07432140741633726,0.0,0.0,0.8,1,4,1,2
-0.5,0.7022897791629097,-0.6666666666666666,0.6666666666666666,0.97,1,2,1,2
0.0,0.891800153559523,-0.3333333333333333,0.3333333333333333,0.97,1,3,1,2
0.5,1.0,0.6666666666666666,0.6666666666666666,0.97,2,3,1,1
-0.5,-0.46008028447093924,-1.0,1.0,0.9400000000000001,2,5,1,3
0.0,1.0,-1.0,1.0,0.97,2,2,3,1
0.5,1.0,0.3333333333333333,0.3333333333333333,0.97,1,3,1,1
0.0,-0.5063585496971066,0.3333333333333333,0.3333333333333333,0.97,2,5,1,2
-0.5,-1.0,-1.0,1.0,0.97,1,6,3,2
0.0,0.4084874623059069,-0.3333333333333333,0.3333333333333333,0.48999999999999994,2,2,1,4
-1.0,0.0718182987188349,-1.0,1.0,0.97,2,3,1,3
0.0,0.4526772708629934,-0.3333333333333333,0.3333333333333333,0.97,2,4,1,4
0.5,0.15780947971214088,0.6666666666666666,0.6666666666666666,0.97,1,6,1,1
-1.0,0.2482426177136173,-1.0,1.0,0.97,1,5,1,1
0.0,0.48788497801828956,-1.0,1.0,0.9400000000000001,1,4,1,1
0.5,0.9853931045889165,1.0,1.0,0.97,2,2,1,2
0.5,-1.0,0.3333333333333333,0.3333333333333333,0.97,2,5,1,2
-1.0,-1.0,-1.0,1.0,0.93,2,6,1,2
0.5,-0.523260607196319,0.3333333333333333,0.3333333333333333,0.92,1,4,1,2
0.0,0.5124027908268457,-0.6666666666666666,0.6666666666666666,0.5299999999999999,2,1,3,4
0.5,-1.0,0.3333333333333333,0.3333333333333333,0.79,1,3,7,3
0.0,0.6135823387765793,-0.6666666666666666,0.6666666666666666,0.5299999999999999,1,2,1,2
-1.0,-0.6773254250219912,-0.6666666666666666,0.6666666666666666,0.97,2,5,2,2
-0.5,-0.6604235392021994,-0.6666666666666666,0.6666666666666666,0.97,2,5,4,2
0.0,-1.0,0.0,0.0,0.93,2,6,1,2
0.5,0.23784276764691875,1.0,1.0,0.97,2,3,1,2
0.5,1.0,1.0,1.0,0.97,1,3,1,2
0.0,-0.6216883941344011,0.3333333333333333,0.3333333333333333,0.97,2,5,1,3
1.0,0.12295253110051106,1.0,1.0,0.97,1,3,1,2
-1.0,-1.0,-1.0,1.0,0.97,2,6,1,3
